x,y,z
-0.139014,-2.20884,0.370424
-0.141199,-2.2168,0.369356
-0.149014,-2.2159,0.375052
-0.150141,-2.20993,0.373178
-0.146741,-2.20794,0.376182
-0.144313,-2.19798,0.377164
-0.150806,-2.19798,0.370944
-0.152333,-2.19699,0.36927
-0.15194,-2.19705,0.382974
-0.154464,-2.207,0.381938
-0.15799,-2.20899,0.378775
-0.156826,-2.21496,0.380746
-0.163666,-2.21794,0.374203
-0.165148,-2.21695,0.372471
-0.168634,-2.22093,0.369197
-0.167572,-2.2269,0.371266
-0.171231,-2.23287,0.368009
-0.162905,-2.23382,0.362946
-0.159376,-2.22785,0.366043
-0.160406,-2.22187,0.364074
-0.157043,-2.21789,0.367187
-0.15481,-2.20893,0.368323
-0.148935,-2.2188,0.3619
-0.15194,-2.21979,0.358809
-0.140824,-2.21966,0.356612
-0.143717,-2.22065,0.353689
-0.141569,-2.21069,0.354739
-0.138764,-2.21069,0.357626
-0.134719,-2.21567,0.36217
-0.13402,-2.22663,0.364101
-0.133547,-2.23244,0.351839
-0.13268,-2.23941,0.353503
-0.131988,-2.24158,0.367668
-0.134528,-2.25552,0.366966
-0.132346,-2.25436,0.355517
-0.128462,-2.26134,0.359966
-0.127104,-2.26333,0.361416
-0.126334,-2.2743,0.363281
-0.13079,-2.2743,0.359225
-0.132464,-2.27729,0.357967
-0.124312,-2.27808,0.352283
-0.122709,-2.27509,0.353463
-0.118439,-2.27509,0.357266
-0.119184,-2.26412,0.355514
-0.120487,-2.26213,0.354153
-0.127306,-2.26213,0.347701
-0.129808,-2.26014,0.344939
-0.130916,-2.25714,0.343447
-0.128292,-2.25714,0.346172
-0.124282,-2.25615,0.350019
-0.124877,-2.24518,0.348289
-0.12416,-2.24592,0.335335
-0.123353,-2.2529,0.336922
-0.122499,-2.25789,0.338329
-0.119985,-2.25789,0.340878
-0.121435,-2.26088,0.339726
-0.119036,-2.26288,0.342309
-0.116145,-2.25689,0.344475
-0.117159,-2.2529,0.343128
-0.114902,-2.25361,0.331898
-0.11408,-2.25859,0.33321
-0.111675,-2.25859,0.335583
-0.113059,-2.26159,0.334511
-0.110764,-2.26358,0.336916
-0.109623,-2.26458,0.338078
-0.108704,-2.26957,0.339375
-0.107536,-2.27156,0.340607
-0.10487,-2.26957,0.342757
-0.103336,-2.26558,0.343704
-0.102696,-2.27755,0.345272
-0.106539,-2.27655,0.341932
-0.110541,-2.27584,0.35125
-0.114625,-2.27584,0.347698
-0.116156,-2.27884,0.346597
-0.112509,-2.26288,0.348339
-0.111261,-2.26487,0.34961
-0.110539,-2.26724,0.32382
-0.111755,-2.26923,0.322694
-0.11461,-2.26425,0.319023
-0.113149,-2.25726,0.320033
-0.115181,-2.25626,0.31759
-0.116254,-2.25726,0.316407
-0.117865,-2.26724,0.315422
-0.119435,-2.27323,0.314053
-0.11037,-2.27385,0.310024
-0.108876,-2.26786,0.311288
-0.107736,-2.26486,0.312365
-0.106042,-2.26985,0.314738
-0.105201,-2.27285,0.315929
-0.103252,-2.27385,0.318107
-0.101878,-2.26786,0.319037
-0.100343,-2.25887,0.319858
-0.095048,-2.25987,0.324988
-0.087722,-2.25945,0.318746
-0.08649,-2.25546,0.319546
-0.089435,-2.25346,0.316764
-0.094358,-2.25246,0.311894
-0.095155,-2.24946,0.310839
-0.093259,-2.24946,0.312784
-0.096603,-2.2479,0.322611
-0.098397,-2.2419,0.320409
-0.087782,-2.23948,0.317268
-0.08934,-2.23049,0.315185
-0.089876,-2.22151,0.31402
-0.084491,-2.22802,0.306768
